比赛时间,比赛ID,联赛名称,主队,客队,主队（让球）vs客队,半场比分,全场比分,总进球数,胜赔率,平赔率,负赔率
2020/1/1,周三012,英冠,诺丁汉森林,布莱克本,诺丁汉森林（-1）vs布莱克本,'2:1,'3:2,5,1.9,3.1,3.4
2020/1/1,周三002,澳超,西悉尼漫步者,布里斯班狮吼,西悉尼漫步者（-1）vs布里斯班狮吼,'1:1,'1:2,3,1.92,3.45,3
2020/1/3,周五001,澳超,墨尔本城,西部联,墨尔本城（-1）vs西部联,'3:0,'3:2,5,1.55,3.93,4.08
2020/1/4,周六020,葡超,阿维斯,圣克拉拉,阿维斯（-1）vs圣克拉拉,'0:0,'0:1,1,2.45,2.85,2.6
2020/1/4,周六019,葡超,博阿维斯塔,波尔蒂芒尼斯,博阿维斯塔（-1）vs波尔蒂芒尼斯,'0:0,'1:1,2,1.98,2.85,3.48
2020/1/4,周六018,英足总杯,加的夫城,卡利斯尔联,加的夫城（-1）vs卡利斯尔联,'0:2,'2:2,4,1.2,5.1,8.75
2020/1/4,周六016,英足总杯,南安普敦,哈德斯菲尔德,南安普敦（-1）vs哈德斯菲尔德,'0:0,'2:0,2,1.34,4.3,6.1
2020/1/4,周六015,英足总杯,雷丁,布莱克浦,雷丁（-1）vs布莱克浦,'0:1,'2:2,4,1.7,3.35,3.9
2020/1/4,周六014,英足总杯,普雷斯顿,诺维奇,普雷斯顿（-1）vs诺维奇,'0:3,'2:4,6,2.15,3.4,2.6
2020/1/4,周六013,英足总杯,富勒姆,阿斯顿维拉,富勒姆（-1）vs阿斯顿维拉,'0:0,'2:1,3,1.91,3.48,3
2020/1/4,周六012,英足总杯,布赖顿,谢菲尔德星期三,布赖顿（-1）vs谢菲尔德星期三,'0:0,'0:1,1,1.45,3.75,5.35
2020/1/4,周六011,英足总杯,布伦特福德,斯托克城,布伦特福德（-1）vs斯托克城,'1:0,'1:0,1,2.05,3.15,2.95
2020/1/4,周六010,西甲,赫塔费,皇家马德里,赫塔费（+1）vs皇家马德里,'0:1,'0:3,3,4.1,3.35,1.66
2020/1/4,周六009,英锦标赛,埃克塞特城,伊普斯维奇,埃克塞特城（+1）vs伊普斯维奇,'1:0,'2:1,3,3.3,3.3,1.86
2020/1/4,周六008,法国杯,摩纳哥,兰斯,摩纳哥（-1）vs兰斯,'0:0,'2:1,3,1.47,3.6,5.4
2020/1/4,周六007,英足总杯,罗奇代尔,纽卡斯尔联,罗奇代尔（+1）vs纽卡斯尔联,'0:1,'1:1,2,5.7,4.1,1.38
2020/1/4,周六006,英足总杯,罗瑟汉姆,赫尔城,罗瑟汉姆（-1）vs赫尔城,'2:1,'2:3,5,2,3.45,2.85
2020/1/4,周六005,英足总杯,米尔沃尔,纽波特郡,米尔沃尔（-1）vs纽波特郡,'1:0,'3:0,3,1.31,4.05,7.5
2020/1/4,周六004,英足总杯,伯恩利,彼得堡联,伯恩利（-1）vs彼得堡联,'3:1,'4:2,6,1.39,4.1,5.55
2020/1/4,周六003,英足总杯,伯明翰,布莱克本,伯明翰（-1）vs布莱克本,'1:0,'2:1,3,2.11,2.85,3.13
2020/1/4,周六002,西甲,巴伦西亚,埃瓦尔,巴伦西亚（-1）vs埃瓦尔,'1:0,'1:0,1,1.42,3.8,5.65
2020/1/4,周六001,澳超,悉尼FC,阿德莱德联,悉尼FC（-1）vs阿德莱德联,'2:1,'2:1,3,1.74,3.6,3.43
2020/1/4,周五004,西甲,塞维利亚,毕尔巴鄂竞技,塞维利亚（-1）vs毕尔巴鄂竞技,'0:1,'1:1,2,1.46,3.55,5.65
2020/1/4,周五003,法国杯,波尔多,勒芒,波尔多（-1）vs勒芒,'0:0,'2:0,2,1.26,4.3,8.5
2020/1/4,周五002,西甲,巴利亚多利德,莱加内斯,巴利亚多利德（-1）vs莱加内斯,'1:2,'2:2,4,2.38,2.65,2.9
2020/1/5,周日017,葡超,里奥阿维,马里迪莫,里奥阿维（-1）vs马里迪莫,'0:0,'0:1,1,1.38,3.85,6.25
2020/1/5,周日016,葡超,费雷拉,摩雷伦斯,费雷拉（-1）vs摩雷伦斯,'1:0,'1:0,1,1.95,2.85,3.56
2020/1/5,周日015,葡超,通德拉,吉维森特,通德拉（-1）vs吉维森特,'1:1,'1:1,2,2.17,2.9,2.95
2020/1/5,周日014,西甲,阿拉维斯,皇家贝蒂斯,阿拉维斯（+1）vs皇家贝蒂斯,'1:0,'1:1,2,2.6,3,2.35
2020/1/5,周日013,英足总杯,女王公园巡游者,斯旺西,女王公园巡游者（-1）vs斯旺西,'3:0,'5:1,6,1.87,3.55,3.05
2020/1/5,周日012,英足总杯,米德尔斯堡,托特纳姆热刺,米德尔斯堡（+1）vs托特纳姆热刺,'0:0,'1:1,2,6.75,4.3,1.31
2020/1/5,周日011,英足总杯,水晶宫,德比郡,水晶宫（-1）vs德比郡,'0:1,'0:1,1,1.54,3.35,5.1
2020/1/5,周日009,英足总杯,查尔顿,西布罗姆维奇,查尔顿（+1）vs西布罗姆维奇,'0:1,'0:1,1,5,3.9,1.46
2020/1/5,周日008,英足总杯,伯顿,北安普敦,伯顿（-1）vs北安普敦,'1:3,'2:4,6,1.41,3.95,5.5
2020/1/5,周日007,英足总杯,布里斯托尔流浪,考文垂,布里斯托尔流浪（+1）vs考文垂,'2:1,'2:2,4,3.65,3.55,1.7
2020/1/5,周日006,法国杯,巴斯蒂亚博尔戈,圣埃蒂安,巴斯蒂亚博尔戈（+1）vs圣埃蒂安,'0:2,'0:3,3,5.8,3.8,1.41
2020/1/5,周日005,法国杯,洛里昂,布雷斯特,洛里昂（-1）vs布雷斯特,'1:1,'1:1,2,1.73,3.25,3.88
2020/1/5,周日004,西甲,皇家社会,比利亚雷亚尔,皇家社会（-1）vs比利亚雷亚尔,'1:0,'1:2,3,1.61,3.75,3.9
2020/1/5,周日003,意甲,布雷西亚,拉齐奥,布雷西亚（+1）vs拉齐奥,'1:1,'1:2,3,4.65,3.95,1.48
2020/1/5,周日002,西甲,格拉纳达CF,马洛卡,格拉纳达CF（-1）vs马洛卡,'1:0,'1:0,1,1.62,3.2,4.65
2020/1/5,周日001,澳超,墨尔本胜利,纽卡斯尔喷气机,墨尔本胜利（-1）vs纽卡斯尔喷气机,'1:0,'4:0,4,2.04,3.4,2.78
2020/1/5,周六029,葡超,吉马良斯,本菲卡,吉马良斯（+1）vs本菲卡,'0:1,'0:1,1,3.88,3.4,1.69
2020/1/5,周六028,西甲,西班牙人,巴塞罗那,西班牙人（+1）vs巴塞罗那,'1:0,'2:2,4,7.25,5,1.24
2020/1/5,周六027,法国杯,布尔格,里昂,布尔格（+1）vs里昂,'0:2,'0:7,7,8.25,4.75,1.23
2020/1/5,周六026,葡超,比兰尼塞斯,布拉加,比兰尼塞斯（+1）vs布拉加,'1:4,'1:7,8,5.9,3.85,1.4
2020/1/5,周六025,英足总杯,狼队,曼彻斯特联,狼队（-1）vs曼彻斯特联,'0:0,'0:0,0,2.17,2.95,2.9
2020/1/5,周六023,英足总杯,伯恩茅斯,卢顿,伯恩茅斯（-1）vs卢顿,'1:0,'4:0,4,1.28,4.65,6.75
2020/1/5,周六022,西甲,马德里竞技,莱万特,马德里竞技（-1）vs莱万特,'2:1,'2:1,3,1.13,5.7,12
2020/1/5,周六021,法国杯,雷恩,亚眠,雷恩（-1）vs亚眠,'0:0,'0:0,0,1.38,3.8,6.5
2020/1/6,周一004,意甲,亚特兰大,帕尔马,亚特兰大（-1）vs帕尔马,'3:0,'5:0,5,1.18,5.45,8.8
2020/1/6,周一003,意甲,AC米兰,桑普多利亚,AC米兰（-1）vs桑普多利亚,'0:0,'0:0,0,1.43,3.8,5.6
2020/1/6,周一002,意甲,尤文图斯,卡利亚里,尤文图斯（-1）vs卡利亚里,'0:0,'4:0,4,1.15,5.75,10
2020/1/6,周一001,意甲,博洛尼亚,佛罗伦萨,博洛尼亚（-1）vs佛罗伦萨,'0:1,'1:1,2,2.3,3.15,2.55
2020/1/6,周日023,意甲,罗马,都灵,罗马（-1）vs都灵,'0:1,'0:2,2,1.37,4.25,5.6
2020/1/6,周日022,英足总杯,吉灵汉姆,西汉姆联,吉灵汉姆（+1）vs西汉姆联,'0:0,'0:2,2,5.85,4.1,1.37
2020/1/6,周日021,葡超,里斯本竞技,波尔图,里斯本竞技（+1）vs波尔图,'1:1,'1:2,3,3.1,2.95,2.07
2020/1/6,周日020,意甲,热那亚,萨索洛,热那亚（-1）vs萨索洛,'1:1,'2:1,3,1.98,3.25,3.02
2020/1/6,周日019,法国杯,瓦朗谢纳,第戎,瓦朗谢纳（+1）vs第戎,'1:1,'1:2,3,2.95,2.95,2.15
2020/1/6,周日018,英足总杯,利物浦,埃弗顿,利物浦（-1）vs埃弗顿,'0:0,'1:0,1,2.72,3.35,2.1
2020/1/7,周一006,意甲,那不勒斯,国际米兰,那不勒斯（-1）vs国际米兰,'1:2,'1:3,4,2.36,3.3,2.4
2020/1/7,周一005,意甲,莱切,乌迪内斯,莱切（+1）vs乌迪内斯,'0:0,'0:1,1,2.55,3.15,2.3
2020/1/8,周三002,亚奥赛,泰国U23,巴林亚足,泰国U23（-1）vs巴林亚足,'1:0,'5:0,5,1.68,3.25,4.15
2020/1/8,周三001,亚奥赛,伊拉克亚足,澳大利亚U23,伊拉克亚足（+1）vs澳大利亚U23,'0:0,'1:1,2,3.78,2.95,1.85
2020/1/8,周二005,法联赛杯,兰斯,斯特拉斯堡,兰斯（-1）vs斯特拉斯堡,'0:0,'0:0,0,1.97,2.82,3.55
2020/1/8,周二004,英联赛杯,曼彻斯特联,曼彻斯特城,曼彻斯特联（+1）vs曼彻斯特城,'0:3,'1:3,4,4.4,4,1.5
2020/1/8,周二003,英锦标赛,沃尔索尔,朴次茅斯,沃尔索尔（+1）vs朴次茅斯,'0:1,'1:2,3,3.36,3.3,1.84
2020/1/8,周二002,英锦标赛,福利特伍德,阿克宁顿,福利特伍德（-1）vs阿克宁顿,'0:1,'2:2,4,1.93,3.35,3.05
2020/1/8,周二001,英锦标赛,纽波特郡,米尔顿凯恩斯,纽波特郡（+1）vs米尔顿凯恩斯,'3:0,'3:0,3,2.78,3.15,2.14
2020/1/8,周三002,亚奥赛,泰国U23,仙台七夕,德岛漩涡（-1）vs仙台七夕,'1:0,'1:0,1,1.68,3.57,3.65
2020/1/8,周三001,亚奥赛,伊拉克亚足,名古屋鲸八,湘南海洋（+1）vs名古屋鲸八,'0:0,'0:0,0,4.1,3,1.75
2020/1/8,周二005,法联赛杯,兰斯,柏太阳神,鹿岛鹿角（-1）vs柏太阳神,'0:0,'2:1,3,1.62,3.6,3.95
2020/1/8,周二004,英联赛杯,曼彻斯特联,札幌冈萨多,东京FC（-1）vs札幌冈萨多,'0:0,'2:1,3,2.28,3.45,2.38
2020/1/8,周二003,英锦标赛,沃尔索尔,利物浦,皇家马德里（+1）vs利物浦,'2:0,'3:1,4,2.56,3.15,2.27
2020/1/8,周二002,英锦标赛,福利特伍德,哈德斯菲尔德,诺维奇（-1）vs哈德斯菲尔德,'5:0,'7:0,7,1.3,4.3,6.75
2020/1/8,周二001,英锦标赛,纽波特郡,伯明翰,布伦特福德（-1）vs伯明翰,'0:0,'0:0,0,1.45,3.6,5.5
2020/1/9,周四004,亚奥赛,韩国U23,巴林亚足,泰国U23（-1）vs巴林亚足,'1:0,'5:0,5,1.68,3.25,4.15
2020/1/9,周四003,亚奥赛,日本亚足,澳大利亚U23,伊拉克亚足（+1）vs澳大利亚U23,'0:0,'1:1,2,3.78,2.95,1.85
2020/1/9,周四002,亚奥赛,乌兹别克斯坦亚足,斯特拉斯堡,兰斯（-1）vs斯特拉斯堡,'0:0,'0:0,0,1.97,2.82,3.55
2020/1/9,周四001,亚奥赛,卡塔尔亚足,曼彻斯特城,曼彻斯特联（+1）vs曼彻斯特城,'0:3,'1:3,4,4.4,4,1.5
2020/1/9,周三008,法联赛杯,巴黎圣日尔曼,朴次茅斯,沃尔索尔（+1）vs朴次茅斯,'0:1,'1:2,3,3.36,3.3,1.84
2020/1/9,周三007,法联赛杯,里尔,阿克宁顿,福利特伍德（-1）vs阿克宁顿,'0:1,'2:2,4,1.93,3.35,3.05
2020/1/9,周三006,英联赛杯,莱切斯特城,米尔顿凯恩斯,纽波特郡（+1）vs米尔顿凯恩斯,'3:0,'3:0,3,2.78,3.15,2.14
2020/1/9,周三005,英锦标赛,布里斯托尔流浪,中国U23,韩国U23（-1）vs中国U23,'0:0,'1:0,1,1.24,4.65,8.25
2020/1/9,周三004,西超杯,巴伦西亚,沙特亚足,日本亚足（-1）vs沙特亚足,'0:0,'1:2,3,1.32,4.35,6.35
2020/1/9,周三003,法联赛杯,里昂,伊朗亚足,乌兹别克斯坦亚足（-1）vs伊朗亚足,'1:0,'1:1,2,2.1,2.9,3.1
2020/1/10,周五002,亚奥赛,越南U23,叙利亚亚足,卡塔尔亚足（-1）vs叙利亚亚足,'2:1,'2:2,4,1.66,3.2,4.35
2020/1/10,周四006,意大利杯,都灵,亚眠,里尔（-1）vs亚眠,'0:0,'2:0,2,1.35,3.85,7
2020/1/10,周四005,西超杯,巴塞罗那,阿斯顿维拉,莱切斯特城（-1）vs阿斯顿维拉,'0:1,'1:1,2,1.16,5.55,9.75
2020/1/11,周六030,亚奥赛,泰国U23,斯蒂文尼奇,布里斯托尔流浪（-1）vs斯蒂文尼奇,'0:1,'0:1,1,1.48,3.75,5
2020/1/11,周六029,亚奥赛,巴林亚足,皇家马德里,巴伦西亚（+1）vs皇家马德里,'0:2,'1:3,4,3.95,3.65,1.62
2020/1/11,周六019,葡超,波尔蒂芒尼斯,布雷斯特,里昂（-1）vs布雷斯特,'1:0,'3:1,4,1.15,5.5,11
2020/1/11,周六018,英冠,斯托克城,阿联酋U23,越南U23（+1）vs阿联酋U23,'0:0,'0:0,0,2.75,2.92,2.28
2020/1/11,周六017,英冠,雷丁,悉尼FC,纽卡斯尔喷气机（+1）vs悉尼FC,'1:2,'1:2,3,3.15,3.45,1.86
2020/1/11,周六016,英冠,米德尔斯堡,热那亚,都灵（-1）vs热那亚,'1:1,'1:1,2,1.46,3.75,5.2
2020/1/11,周六015,英冠,利兹联,马德里竞技,巴塞罗那（-1）vs马德里竞技,'0:0,'2:3,5,1.73,3.3,3.8
2020/1/11,周六014,英冠,赫尔城,澳大利亚U23,泰国U23（+1）vs澳大利亚U23,'1:1,'1:2,3,3.35,3.2,1.88
2020/1/11,周六013,英冠,查尔顿,伊拉克亚足,巴林亚足（+1）vs伊拉克亚足,'1:0,'2:2,4,6.8,4.1,1.33
2020/1/11,周六012,英冠,布莱克本,费雷拉,波尔蒂芒尼斯（-1）vs费雷拉,'0:0,'0:0,0,1.93,2.75,3.8
2020/1/11,周六011,英冠,巴恩斯利,米尔沃尔,斯托克城（-1）vs米尔沃尔,'0:0,'0:0,0,1.91,3,3.5
2020/1/11,周六010,英超,狼队,诺丁汉森林,雷丁（-1）vs诺丁汉森林,'0:0,'1:1,2,2.2,3.1,2.73
2020/1/11,周六009,英超,曼彻斯特联,德比郡,米德尔斯堡（-1）vs德比郡,'1:0,'2:2,4,1.9,3.15,3.35
2020/1/11,周六008,英超,莱切斯特城,谢菲尔德星期三,利兹联（-1）vs谢菲尔德星期三,'0:0,'0:2,2,1.41,3.85,5.75
2020/1/11,周六007,英超,埃弗顿,富勒姆,赫尔城（-1）vs富勒姆,'0:1,'0:1,1,2.2,3.35,2.56
2020/1/11,周六006,英超,切尔西,西布罗姆维奇,查尔顿（+1）vs西布罗姆维奇,'1:1,'2:2,4,5.5,4.05,1.4
2020/1/11,周六005,意甲,卡利亚里,普雷斯顿,布莱克本（-1）vs普雷斯顿,'1:1,'1:1,2,2.37,3,2.57
2020/1/11,周六004,英冠,布伦特福德,哈德斯菲尔德,巴恩斯利（-1）vs哈德斯菲尔德,'1:0,'2:1,3,2.05,3.25,2.88
2020/1/11,周六003,国王杯,阿罗,纽卡斯尔联,狼队（-1）vs纽卡斯尔联,'1:1,'1:1,2,1.33,3.95,7.2
2020/1/11,周六002,澳超,珀斯光荣,诺维奇,曼彻斯特联（-1）vs诺维奇,'1:0,'4:0,4,1.22,4.95,8.15
2020/1/11,周六001,澳超,布里斯班狮吼,南安普敦,莱切斯特城（-1）vs南安普敦,'1:1,'1:2,3,1.49,3.85,4.7
2020/1/11,周五018,葡超,摩雷伦斯,布赖顿,埃弗顿（-1）vs布赖顿,'1:0,'1:0,1,1.67,3.4,4
2020/1/11,周五017,英超,谢菲尔德联,伯恩利,切尔西（-2）vs伯恩利,'2:0,'3:0,3,1.19,5.05,9.5
2020/1/11,周五016,法甲,雷恩,AC米兰,卡利亚里（+1）vsAC米兰,'0:0,'0:2,2,2.8,3.25,2.09
2020/1/11,周五015,葡超,本菲卡,女王公园巡游者,布伦特福德（-1）vs女王公园巡游者,'3:0,'3:1,4,1.45,3.95,5
2020/1/11,周五014,葡超,圣克拉拉,奥萨苏纳,阿罗（+1）vs奥萨苏纳,'0:0,'1:2,3,7,4.05,1.33
2020/1/11,周五013,荷乙,特尔斯达,阿德莱德联,珀斯光荣（-1）vs阿德莱德联,'2:0,'3:0,3,1.62,3.7,3.9
2020/1/11,周五012,荷乙,坎布尔,墨尔本城,布里斯班狮吼（+1）vs墨尔本城,'2:1,'2:2,4,2.72,3.55,2.02
2020/1/11,周五011,荷乙,海尔蒙特,波尔图,摩雷伦斯（+1）vs波尔图,'2:2,'2:4,6,9,4.55,1.23
2020/1/11,周五010,荷乙,格拉夫夏普,西汉姆联,谢菲尔德联（-1）vs西汉姆联,'0:0,'1:0,1,1.8,3.2,3.62
2020/1/11,周五009,法乙,勒芒,马赛,雷恩（-1）vs马赛,'0:0,'0:1,1,2.52,2.85,2.52
2020/1/11,周五007,法乙,索肖,里奥阿维,圣克拉拉（+1）vs里奥阿维,'0:0,'0:1,1,2.7,2.88,2.35
2020/1/11,周五006,法乙,克莱蒙,埃因霍温FC,特尔斯达（-1）vs埃因霍温FC,'1:0,'2:0,2,1.5,4,4.4
2020/1/11,周五005,法乙,尼奥尔,福伦丹,坎布尔（-1）vs福伦丹,'0:1,'1:2,3,1.45,4.1,4.75
2020/1/11,周五004,法乙,南锡,布雷达,海尔蒙特（+1）vs布雷达,'0:0,'0:0,0,5.2,4.2,1.4
2020/1/12,周日020,亚奥赛,中国亚足,欧塞尔,勒芒（+1）vs欧塞尔,'0:1,'0:1,1,2.7,3,2.28
2020/1/12,周日019,亚奥赛,叙利亚亚足,沙托鲁,罗德兹（-1）vs沙托鲁,'0:1,'1:2,3,1.98,2.87,3.45
2020/1/12,周日018,亚奥赛,伊朗亚足,巴黎FC,索肖（-1）vs巴黎FC,'0:1,'1:1,2,1.7,2.82,4.95
2020/1/12,周日017,亚奥赛,沙特U23,特鲁瓦,克莱蒙（-1）vs特鲁瓦,'2:1,'3:2,5,2.2,2.72,3.1
2020/1/12,周日010,法甲,圣埃蒂安,勒阿弗尔,尼奥尔（+1）vs勒阿弗尔,'0:1,'0:1,1,4.2,3.05,1.73
2020/1/12,周日009,意甲,桑普多利亚,瓦朗谢纳,南锡（-1）vs瓦朗谢纳,'1:0,'1:0,1,1.72,2.95,4.5
2020/1/12,周日008,意甲,都灵,格勒诺布尔,阿雅克肖（-1）vs格勒诺布尔,'1:1,'3:1,4,1.93,2.62,4.1
2020/1/12,周日007,意甲,佛罗伦萨,乌兹别克斯坦亚足,中国亚足（+1）vs乌兹别克斯坦亚足,'0:1,'0:2,2,4.7,3.4,1.57
2020/1/12,周日006,英超,伯恩茅斯,日本亚足,叙利亚亚足（+1）vs日本亚足,'1:1,'2:1,3,9.3,5.5,1.17
2020/1/12,周日005,荷乙,前进之鹰,韩国亚足,伊朗亚足（+1）vs韩国亚足,'0:2,'1:2,3,3.35,3,1.95
2020/1/12,周日004,英冠,加的夫城,卡塔尔U23,沙特U23（-1）vs卡塔尔U23,'0:0,'0:0,0,2.16,3.05,2.84
2020/1/12,周日003,意甲,乌迪内斯,南特,圣埃蒂安（-1）vs南特,'0:1,'0:2,2,2.23,2.8,2.95
2020/1/12,周日002,荷乙,罗达JC,布雷西亚,桑普多利亚（-1）vs布雷西亚,'2:1,'5:1,6,1.87,3.15,3.42
2020/1/12,周日001,澳超,中央海岸水手,博洛尼亚,都灵（-1）vs博洛尼亚,'1:0,'1:0,1,2.05,3.3,2.83
